PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31656123","Speed in a high-speed society","Hydén C.","Int J Inj Contr Saf Promot. 2020 Mar;27(1):44-50. doi: 10.1080/17457300.2019.1680566. Epub 2019 Oct 28.","Hydén C","Int J Inj Contr Saf Promot","2020","2019/10/29","","","10.1080/17457300.2019.1680566"
"38253631","Drivers' behavior confronting fixed and point-to-point speed enforcement camera: agent-based simulation and translation to crash relative risk change","Safavi-Naini SAA, Sobhani S, Malekpour MR, Bhalla K, Shahraz S, Haghshenas R, Ghamari SH, Abbasi-Kangevari M, Rezaei N, Heydari ST, Rezaei N, Lankarani KB, Farzadfar F.","Sci Rep. 2024 Jan 22;14(1):1863. doi: 10.1038/s41598-024-52265-3.","Safavi-Naini SAA","Sci Rep","2024","2024/01/22","PMC10803355","","10.1038/s41598-024-52265-3"
"26342893","Speed enforcement in Norway: Testing a game-theoretic model of the interaction between drivers and the police","Elvik R.","Accid Anal Prev. 2015 Nov;84:128-33. doi: 10.1016/j.aap.2015.08.017. Epub 2015 Sep 3.","Elvik R","Accid Anal Prev","2015","2015/09/07","","","10.1016/j.aap.2015.08.017"
"35458870","Using Connected Vehicle Trajectory Data to Evaluate the Impact of Automated Work Zone Speed Enforcement","Mathew JK, Li H, Landvater H, Bullock DM.","Sensors (Basel). 2022 Apr 9;22(8):2885. doi: 10.3390/s22082885.","Mathew JK","Sensors (Basel)","2022","2022/04/23","PMC9024971","","10.3390/s22082885"
"30205285","Safety and operational impacts of setting speed limits below engineering recommendations","Gayah VV, Donnell ET, Yu Z, Li L.","Accid Anal Prev. 2018 Dec;121:43-52. doi: 10.1016/j.aap.2018.08.029. Epub 2018 Sep 8.","Gayah VV","Accid Anal Prev","2018","2018/09/12","","","10.1016/j.aap.2018.08.029"
"28939098","Structural equations modelling of drivers' speed selection using environmental, driver, and risk factors","Sadia R, Bekhor S, Polus A.","Accid Anal Prev. 2018 Jul;116:21-29. doi: 10.1016/j.aap.2017.08.034. Epub 2017 Sep 20.","Sadia R","Accid Anal Prev","2018","2017/09/24","","","10.1016/j.aap.2017.08.034"
"38141324","Assessing driver behavior in work zones: A discretized duration approach to predict speeding","Thapa D, Mishra S, Khattak A, Adeel M.","Accid Anal Prev. 2024 Mar;196:107427. doi: 10.1016/j.aap.2023.107427. Epub 2023 Dec 22.","Thapa D","Accid Anal Prev","2024","2023/12/23","","","10.1016/j.aap.2023.107427"
"27286175","Lesson learned from the application of intersection safety devices in Edmonton","Contini L, El-Basyouny K.","Accid Anal Prev. 2016 Sep;94:127-34. doi: 10.1016/j.aap.2016.05.023. Epub 2016 Jun 7.","Contini L","Accid Anal Prev","2016","2016/06/11","","","10.1016/j.aap.2016.05.023"
"30802777","Impact evaluation of camera enforcement for traffic violations in Cali, Colombia, 2008-2014","Martínez-Ruíz DM, Fandiño-Losada A, Ponce de Leon A, Arango-Londoño D, Mateus JC, Jaramillo-Molina C, Bonilla-Escobar FJ, Vivas H, Vanlaar W, Gutiérrez-Martínez MI.","Accid Anal Prev. 2019 Apr;125:267-274. doi: 10.1016/j.aap.2019.02.002. Epub 2019 Feb 22.","Martínez-Ruíz DM","Accid Anal Prev","2019","2019/02/26","","","10.1016/j.aap.2019.02.002"
"34424783","Evaluation of the effect of fixed speed cameras on speeding behavior among Iranian taxi drivers through telematics monitoring","Tavolinejad H, Malekpour MR, Rezaei N, Jafari A, Ahmadi N, Nematollahi A, Abdolhamidi E, Foroutan Mehr E, Hasan M, Farzadfar F.","Traffic Inj Prev. 2021;22(7):559-563. doi: 10.1080/15389588.2021.1957100. Epub 2021 Aug 23.","Tavolinejad H","Traffic Inj Prev","2021","2021/08/23","","","10.1080/15389588.2021.1957100"
"23491149","Factors associated with the ability to estimate actual speeds in recreational alpine skiers","Ruedl G, Brunner F, Woldrich T, Faulhaber M, Kopp M, Nachbauer W, Burtscher M.","Wilderness Environ Med. 2013 Jun;24(2):118-23. doi: 10.1016/j.wem.2012.11.021. Epub 2013 Mar 13.","Ruedl G","Wilderness Environ Med","2013","2013/03/16","","","10.1016/j.wem.2012.11.021"
"24184967","An evaluation of Winnipeg's photo enforcement safety program: results of time series analyses and an intersection camera experiment","Vanlaar W, Robertson R, Marcoux K.","Accid Anal Prev. 2014 Jan;62:238-47. doi: 10.1016/j.aap.2013.09.023. Epub 2013 Oct 17.","Vanlaar W","Accid Anal Prev","2014","2013/11/05","","","10.1016/j.aap.2013.09.023"
"29018542","Spatiotemporal characteristics of motor actions by blind long jump athletes","Torralba MA, Padullés JM, Losada JL, López JL.","BMJ Open Sport Exerc Med. 2017 Sep 28;3(1):e000252. doi: 10.1136/bmjsem-2017-000252. eCollection 2017.","Torralba MA","BMJ Open Sport Exerc Med","2017","2017/10/12","PMC5623324","","10.1136/bmjsem-2017-000252"
